Time,0
Size,Average
1,0.0
2,18508.0
3,12.0
Time,1
Size,Average
4,80.0
5,24959.0
6,16450.29
7,25141.1
8,23320.57
9,17817.57
10,22513.81
11,17280.29
12,33380.05
13,26754.67
14,23746.62
15,25210.29
Time,5
Size,Average
4,80.0
5,24959.0
6,16418.0
7,24778.86
8,22693.71
9,14864.24
10,21549.43
11,14823.0
12,31494.43
13,24819.57
14,22033.67
15,22597.57
Time,10
Size,Average
4,80.0
5,24959.0
6,16418.0
7,24769.0
8,22562.0
9,14161.0
10,21447.43
11,14510.62
12,31202.14
13,24500.43
14,21057.38
15,21414.0
Time,30
Size,Average
4,80.0
5,24959.0
6,16418.0
7,24769.0
8,22562.0
9,14161.0
10,21419.0
11,14348.14
12,30667.0
13,23575.38
14,20833.43
15,19923.33
Time,60
Size,Average
4,80.0
5,24959.0
6,16418.0
7,24769.0
8,22562.0
9,14161.0
10,21419.0
11,13836.62
12,30256.33
13,23571.19
14,20280.38
15,19277.38
Time,300
Size,Average
4,80.0
5,24959.0
6,16418.0
7,24769.0
8,22562.0
9,14161.0
10,21419.0
11,13631.0
12,30091.81
13,22993.81
14,19724.62
15,18395.95
Time,600
Size,Average
4,80.0
5,24959.0
6,16418.0
7,24769.0
8,22562.0
9,14161.0
10,21419.0
11,13631.0
12,30080.0
13,22943.05
14,19520.1
15,17999.33
Time,1200
Size,Average
4,80.0
5,24959.0
6,16418.0
7,24769.0
8,22562.0
9,14161.0
10,21419.0
11,13631.0
12,30080.0
13,22912.0
14,19423.43
15,18071.14
